LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-12-21 07:41:27,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:27,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-41, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:27,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-41, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:27,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-41, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:27,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-41, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:27,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-41, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:27,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:27,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:27,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:28,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:29,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:29,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:29,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-21 07:41:30,1900-01-00 00:00:00,CRYPTO,46:41:C9:D8:13:29,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
